cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
1.17457,1.19427,2000-01-03 09:36:00.0,Abertura
1.17803,1.18784,2000-01-03 10:00:00.0,Intermediário
1.17576,1.18359,2000-01-03 10:30:00.0,Intermediário
1.1794,1.18725,2000-01-03 11:04:00.0,Intermediário
1.18126,1.18911,2000-01-03 11:34:00.0,Intermediário
1.18251,1.19038,2000-01-03 12:03:00.0,Intermediário
1.1803,1.18815,2000-01-03 12:33:00.0,Intermediário
1.17988,1.18707,2000-01-03 13:00:00.0,Intermediário
1.18096,1.18815,2000-01-03 13:34:00.0,Intermediário
1.18383,1.19103,2000-01-03 14:03:00.0,Intermediário
1.18275,1.18995,2000-01-03 14:30:00.0,Intermediário
1.18646,1.19434,2000-01-03 15:00:00.0,Intermediário
1.19065,1.1979,2000-01-03 15:34:00.0,Intermediário
1.19262,1.20054,2000-01-03 16:00:00.0,Intermediário
1.19814,1.20609,2000-01-03 16:30:00.0,Intermediário
1.19741,1.20536,2000-01-03 17:06:00.0,Fechamento Interbancário
1.18455,1.18806,2000-01-03 19:43:00.0,Fechamento
1.19698,1.21683,2000-01-04 09:24:00.0,Abertura
1.20264,1.21062,2000-01-04 10:00:00.0,Intermediário
1.19994,1.2079,2000-01-04 10:30:00.0,Intermediário
1.20016,1.20812,2000-01-04 11:00:00.0,Intermediário
1.20056,1.20853,2000-01-04 11:30:00.0,Intermediário
1.20224,1.21021,2000-01-04 12:00:00.0,Intermediário
1.20418,1.21216,2000-01-04 12:30:00.0,Intermediário
1.20308,1.21106,2000-01-04 13:00:00.0,Intermediário
1.20392,1.21124,2000-01-04 13:30:00.0,Intermediário
1.20282,1.21014,2000-01-04 14:00:00.0,Intermediário
1.20135,1.20866,2000-01-04 14:30:00.0,Intermediário
1.20397,1.21196,2000-01-04 15:00:00.0,Intermediário
1.20614,1.21414,2000-01-04 15:30:00.0,Intermediário
1.20949,1.21751,2000-01-04 16:00:00.0,Intermediário
1.21426,1.22362,2000-01-04 16:30:00.0,Intermediário
1.21079,1.22013,2000-01-04 17:00:00.0,Fechamento Interbancário
1.20105,1.20461,2000-01-04 19:13:00.0,Fechamento
1.20958,1.2295,2000-01-05 09:41:00.0,Abertura
1.21158,1.22027,2000-01-05 10:00:00.0,Intermediário
1.21218,1.22087,2000-01-05 10:30:00.0,Intermediário
1.21657,1.22462,2000-01-05 11:00:00.0,Intermediário
1.21919,1.22726,2000-01-05 11:30:00.0,Intermediário
1.22526,1.23336,2000-01-05 12:00:00.0,Intermediário
1.21992,1.22931,2000-01-05 12:30:00.0,Intermediário
1.21854,1.22726,2000-01-05 13:00:00.0,Intermediário
1.22143,1.23149,2000-01-05 13:30:00.0,Intermediário
1.2192,1.22925,2000-01-05 14:00:00.0,Intermediário
1.21772,1.22776,2000-01-05 14:30:00.0,Intermediário
1.21063,1.21866,2000-01-05 15:00:00.0,Intermediário
1.20998,1.218,2000-01-05 15:30:00.0,Intermediário
1.20567,1.21367,2000-01-05 16:00:00.0,Intermediário
1.20332,1.2113,2000-01-05 16:30:00.0,Intermediário
1.20339,1.21138,2000-01-05 17:00:00.0,Fechamento Interbancário
1.22091,1.22452,2000-01-05 19:11:00.0,Fechamento
1.19991,1.21955,2000-01-06 09:34:00.0,Abertura
1.21402,1.22188,2000-01-06 10:08:00.0,Intermediário
1.21183,1.21986,2000-01-06 10:30:00.0,Intermediário
1.2108,1.21883,2000-01-06 11:00:00.0,Intermediário
1.20827,1.21628,2000-01-06 11:30:00.0,Intermediário
1.20368,1.21232,2000-01-06 12:00:00.0,Intermediário
1.20214,1.21011,2000-01-06 12:30:00.0,Intermediário
1.2024,1.21038,2000-01-06 13:00:00.0,Intermediário
1.20148,1.20945,2000-01-06 13:30:00.0,Intermediário
1.20111,1.20909,2000-01-06 14:00:00.0,Intermediário
1.20057,1.20853,2000-01-06 14:30:00.0,Intermediário
1.19816,1.20677,2000-01-06 15:00:00.0,Intermediário
1.19631,1.20425,2000-01-06 15:30:00.0,Intermediário
1.20122,1.20853,2000-01-06 16:00:00.0,Intermediário
1.20142,1.20874,2000-01-06 16:30:00.0,Intermediário
1.2015,1.20948,2000-01-06 17:00:00.0,Fechamento Interbancário
1.20678,1.21035,2000-01-06 19:16:00.0,Fechamento
1.19534,1.2151,2000-01-07 09:25:00.0,Abertura
1.18811,1.19667,2000-01-07 10:00:00.0,Intermediário
1.19195,1.19987,2000-01-07 10:30:00.0,Intermediário
1.19325,1.20118,2000-01-07 11:00:00.0,Intermediário
1.1913,1.19921,2000-01-07 11:30:00.0,Intermediário
1.19057,1.19782,2000-01-07 12:00:00.0,Intermediário
1.19419,1.20212,2000-01-07 12:30:00.0,Intermediário
1.1926,1.19987,2000-01-07 13:00:00.0,Intermediário
1.19213,1.20005,2000-01-07 13:30:00.0,Intermediário
1.1956,1.20354,2000-01-07 14:00:00.0,Intermediário
1.19596,1.2039,2000-01-07 14:30:00.0,Intermediário
1.1956,1.20288,2000-01-07 15:00:00.0,Intermediário
1.19691,1.2042,2000-01-07 15:30:00.0,Intermediário
1.19638,1.20433,2000-01-07 16:00:00.0,Intermediário
1.19523,1.20317,2000-01-07 16:30:00.0,Intermediário
1.19364,1.20157,2000-01-07 17:00:00.0,Fechamento Interbancário
1.19774,1.2013,2000-01-07 19:23:00.0,Fechamento
1.18643,1.20618,2000-01-10 09:25:00.0,Abertura
1.18982,1.19773,2000-01-10 10:00:00.0,Intermediário
1.18833,1.19623,2000-01-10 10:30:00.0,Intermediário
1.18797,1.19586,2000-01-10 11:00:00.0,Intermediário
1.18891,1.19681,2000-01-10 11:30:00.0,Intermediário
1.18884,1.19674,2000-01-10 12:00:00.0,Intermediário
1.19051,1.19843,2000-01-10 12:30:00.0,Intermediário
1.19033,1.19758,2000-01-10 13:00:00.0,Intermediário
1.19015,1.1974,2000-01-10 13:30:00.0,Intermediário
1.19124,1.1985,2000-01-10 14:00:00.0,Intermediário
1.19106,1.19831,2000-01-10 14:30:00.0,Intermediário
1.1879,1.19579,2000-01-10 15:00:00.0,Intermediário
1.1879,1.19579,2000-01-10 15:30:00.0,Intermediário
1.18772,1.19561,2000-01-10 16:00:00.0,Intermediário
1.18785,1.19575,2000-01-10 16:30:00.0,Intermediário
1.18623,1.19411,2000-01-10 17:00:00.0,Fechamento Interbancário
1.19188,1.19541,2000-01-10 19:12:00.0,Fechamento
