cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
3.6764,3.678,2024-01-02 10:08:28.6,Abertura
3.6785,3.6801,2024-01-02 11:11:29.526,Intermediário
3.6643,3.665,2024-01-02 12:04:27.23,Intermediário
3.6826,3.6833,2024-01-02 13:05:50.308,Intermediário
3.6733,3.674,2024-01-02 13:05:50.319,Fechamento
3.694,3.6955,2024-01-03 10:13:43.439,Abertura
3.6859,3.6874,2024-01-03 11:09:27.09,Intermediário
3.6766,3.6781,2024-01-03 12:04:27.435,Intermediário
3.6816,3.6832,2024-01-03 13:14:41.146,Intermediário
3.685,3.6866,2024-01-03 13:14:41.153,Fechamento
3.6835,3.6845,2024-01-04 10:03:26.934,Abertura
3.6828,3.6846,2024-01-04 11:02:26.698,Intermediário
3.689,3.6906,2024-01-04 12:03:28.06,Intermediário
3.6779,3.6794,2024-01-04 13:05:35.04,Intermediário
3.6824,3.6839,2024-01-04 13:05:35.048,Fechamento
3.6794,3.6809,2024-01-05 10:11:27.211,Abertura
3.6624,3.6639,2024-01-05 11:04:27.685,Intermediário
3.6554,3.6569,2024-01-05 12:06:28.505,Intermediário
3.6589,3.6596,2024-01-05 13:10:31.837,Intermediário
3.6695,3.6703,2024-01-05 13:10:31.843,Fechamento
3.6598,3.6614,2024-01-08 10:04:28.992,Abertura
3.6481,3.6496,2024-01-08 11:08:27.142,Intermediário
3.642,3.6438,2024-01-08 12:02:27.357,Intermediário
3.6454,3.6461,2024-01-08 13:11:30.749,Intermediário
3.6522,3.6529,2024-01-08 13:11:30.76,Fechamento
3.6564,3.6579,2024-01-09 10:06:27.244,Abertura
3.6581,3.6597,2024-01-09 11:06:27.266,Intermediário
3.6501,3.6516,2024-01-09 12:03:27.134,Intermediário
3.6579,3.6597,2024-01-09 13:09:30.84,Intermediário
3.6499,3.6517,2024-01-09 13:09:30.847,Fechamento
3.6504,3.6519,2024-01-10 10:11:27.943,Abertura
3.6524,3.6539,2024-01-10 11:08:27.708,Intermediário
3.6572,3.6588,2024-01-10 12:02:27.392,Intermediário
3.6532,3.6547,2024-01-10 13:09:34.765,Intermediário
