cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
1.7701,1.7812,2011-01-03 09:20:13.074,Abertura
1.7757,1.7782,2011-01-03 09:30:13.75,Intermediário
1.7706,1.7731,2011-01-03 10:00:13.095,Intermediário
1.7716,1.7741,2011-01-03 10:31:37.32,Intermediário
1.7675,1.77,2011-01-03 11:00:14.201,Intermediário
1.7687,1.7712,2011-01-03 11:30:11.975,Intermediário
1.768,1.7705,2011-01-03 12:00:18.27,Intermediário
1.769,1.7716,2011-01-03 12:30:18.583,Intermediário
1.7614,1.7641,2011-01-03 13:00:18.697,Intermediário
1.765,1.7675,2011-01-03 13:30:13.227,Intermediário
1.7682,1.7705,2011-01-03 14:00:17.686,Intermediário
1.7707,1.7732,2011-01-03 14:30:12.998,Intermediário
1.7629,1.7655,2011-01-03 15:00:19.183,Intermediário
1.7638,1.7663,2011-01-03 15:30:12.685,Intermediário
1.7656,1.7681,2011-01-03 16:00:14.354,Intermediário
1.767,1.7698,2011-01-03 16:30:12.7,Fechamento Interbancário
1.7683,1.7698,2011-01-03 17:37:45.128,Fechamento
1.7458,1.7567,2011-01-04 09:22:09.51,Abertura
1.7497,1.7522,2011-01-04 09:30:12.8,Intermediário
1.7487,1.7511,2011-01-04 10:00:14.863,Intermediário
1.7476,1.7501,2011-01-04 10:30:12.337,Intermediário
1.7477,1.7502,2011-01-04 11:00:14.295,Intermediário
1.7491,1.7514,2011-01-04 11:30:18.226,Intermediário
1.7521,1.7546,2011-01-04 12:00:16.998,Intermediário
1.7526,1.7549,2011-01-04 12:30:19.535,Intermediário
1.756,1.7585,2011-01-04 13:00:19.2,Intermediário
1.758,1.7605,2011-01-04 13:30:59.426,Intermediário
1.7583,1.7608,2011-01-04 14:00:14.021,Intermediário
1.755,1.7573,2011-01-04 14:30:19.362,Intermediário
1.7591,1.7616,2011-01-04 15:00:16.31,Intermediário
1.7627,1.7652,2011-01-04 15:30:21.296,Intermediário
1.7524,1.7551,2011-01-04 16:00:18.405,Intermediário
1.7535,1.7558,2011-01-04 16:30:14.364,Fechamento Interbancário
1.7459,1.747,2011-01-04 17:35:47.253,Fechamento
1.7491,1.7602,2011-01-05 09:22:12.958,Abertura
1.7519,1.7544,2011-01-05 09:30:13.558,Intermediário
1.7522,1.7548,2011-01-05 10:00:16.67,Intermediário
1.7437,1.7462,2011-01-05 10:30:15.765,Intermediário
1.7433,1.7458,2011-01-05 11:00:16.915,Intermediário
1.731,1.7334,2011-01-05 11:30:14.226,Intermediário
1.7355,1.738,2011-01-05 12:00:19.274,Intermediário
1.7278,1.7303,2011-01-05 12:30:16.439,Intermediário
1.7252,1.7277,2011-01-05 13:00:23.436,Intermediário
1.7241,1.7265,2011-01-05 13:30:13.88,Intermediário
1.7281,1.7305,2011-01-05 14:00:16.54,Intermediário
1.7326,1.7351,2011-01-05 14:30:14.496,Intermediário
1.7301,1.7325,2011-01-05 15:00:22.797,Intermediário
1.7353,1.7377,2011-01-05 15:31:09.018,Intermediário
1.736,1.7384,2011-01-05 16:00:14.924,Intermediário
1.733,1.7354,2011-01-05 16:30:13.509,Fechamento Interbancário
1.7304,1.7316,2011-01-05 17:35:38.994,Fechamento
1.7325,1.7432,2011-01-06 09:20:17.091,Abertura
1.7327,1.7351,2011-01-06 09:31:53.397,Intermediário
1.7323,1.7345,2011-01-06 10:01:04.016,Intermediário
1.7323,1.7347,2011-01-06 10:30:59.939,Intermediário
1.7369,1.7393,2011-01-06 11:00:15.813,Intermediário
1.7411,1.7437,2011-01-06 11:31:33.884,Intermediário
1.7421,1.7444,2011-01-06 12:00:16.516,Intermediário
1.747,1.7494,2011-01-06 12:30:14.24,Intermediário
1.7479,1.7503,2011-01-06 13:01:11.902,Intermediário
1.7475,1.7499,2011-01-06 13:30:13.832,Intermediário
1.7536,1.756,2011-01-06 14:00:15.051,Intermediário
1.7568,1.7591,2011-01-06 14:30:13.232,Intermediário
1.7502,1.7527,2011-01-06 15:00:14.63,Intermediário
1.7473,1.7498,2011-01-06 15:30:11.99,Intermediário
1.7484,1.7509,2011-01-06 16:00:15.288,Intermediário
1.7462,1.7487,2011-01-06 16:30:12.931,Fechamento Interbancário
1.7451,1.7463,2011-01-06 17:37:47.462,Fechamento
1.7503,1.7611,2011-01-07 09:22:09.704,Abertura
1.7533,1.7557,2011-01-07 09:30:14.99,Intermediário
1.7484,1.7509,2011-01-07 10:00:15.097,Intermediário
1.7502,1.7527,2011-01-07 10:30:12.364,Intermediário
1.7477,1.7501,2011-01-07 11:00:15.489,Intermediário
1.7575,1.7604,2011-01-07 11:30:13.789,Intermediário
1.7409,1.7434,2011-01-07 12:00:18.667,Intermediário
1.7388,1.7414,2011-01-07 12:30:14.233,Intermediário
1.7386,1.741,2011-01-07 13:00:20.952,Intermediário
1.7408,1.7432,2011-01-07 13:30:12.838,Intermediário
1.7426,1.745,2011-01-07 14:00:19.877,Intermediário
1.7417,1.7441,2011-01-07 14:30:20.395,Intermediário
1.7466,1.749,2011-01-07 15:00:16.024,Intermediário
1.751,1.7535,2011-01-07 15:30:12.688,Intermediário
1.7469,1.7494,2011-01-07 16:00:16.793,Intermediário
1.7431,1.7455,2011-01-07 16:30:14.488,Fechamento Interbancário
1.7444,1.7456,2011-01-07 17:35:59.615,Fechamento
1.7484,1.7591,2011-01-10 09:20:11.906,Abertura
1.752,1.7543,2011-01-10 09:30:13.748,Intermediário
1.7526,1.755,2011-01-10 10:00:18.793,Intermediário
1.7504,1.7527,2011-01-10 10:30:15.012,Intermediário
1.7528,1.7542,2011-01-10 11:00:17.936,Intermediário
1.7478,1.7502,2011-01-10 11:30:14.548,Intermediário
1.7471,1.7495,2011-01-10 12:00:20.526,Intermediário
1.7433,1.7457,2011-01-10 12:30:15.625,Intermediário
1.7424,1.7449,2011-01-10 13:00:18.608,Intermediário
1.7436,1.7458,2011-01-10 13:30:13.191,Intermediário
1.7455,1.748,2011-01-10 14:00:16.447,Intermediário
1.7445,1.7469,2011-01-10 14:30:13.864,Intermediário
1.7465,1.7489,2011-01-10 15:01:24.441,Intermediário
1.7457,1.7481,2011-01-10 15:31:17.234,Intermediário
1.7416,1.7441,2011-01-10 16:00:15.028,Intermediário
