cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
0.24509,0.2475,2001-01-02 09:37:00.0,Abertura
0.24513,0.24653,2001-01-02 10:00:00.0,Intermediário
0.24486,0.24625,2001-01-02 10:30:00.0,Intermediário
0.24429,0.24567,2001-01-02 11:00:00.0,Intermediário
0.24415,0.24553,2001-01-02 11:30:00.0,Intermediário
0.24368,0.24494,2001-01-02 12:00:00.0,Intermediário
0.24323,0.24461,2001-01-02 12:30:00.0,Intermediário
0.24373,0.24498,2001-01-02 13:00:00.0,Intermediário
0.24491,0.24617,2001-01-02 13:30:00.0,Intermediário
0.2453,0.24656,2001-01-02 14:00:00.0,Intermediário
0.24534,0.2466,2001-01-02 14:30:00.0,Intermediário
0.24509,0.24649,2001-01-02 15:00:00.0,Intermediário
0.24524,0.24663,2001-01-02 15:30:00.0,Intermediário
0.24541,0.24667,2001-01-02 16:00:00.0,Intermediário
0.24593,0.24733,2001-01-02 16:30:00.0,Intermediário
0.2466,0.24788,2001-01-02 17:00:00.0,Fechamento Interbancário
0.24611,0.24662,2001-01-02 18:14:00.0,Fechamento
0.24743,0.24986,2001-01-03 09:40:00.0,Abertura
0.248,0.24941,2001-01-03 10:00:00.0,Intermediário
0.2484,0.24969,2001-01-03 10:30:00.0,Intermediário
0.2479,0.24918,2001-01-03 11:00:00.0,Intermediário
0.24779,0.24907,2001-01-03 11:30:00.0,Intermediário
0.24764,0.24892,2001-01-03 12:00:00.0,Intermediário
0.24707,0.24847,2001-01-03 12:30:00.0,Intermediário
0.24649,0.24789,2001-01-03 13:00:00.0,Intermediário
0.24642,0.24782,2001-01-03 13:30:00.0,Intermediário
0.24575,0.24714,2001-01-03 14:00:00.0,Intermediário
0.24609,0.24748,2001-01-03 14:30:00.0,Intermediário
0.24641,0.24781,2001-01-03 15:00:00.0,Intermediário
0.2457,0.24696,2001-01-03 15:30:00.0,Intermediário
0.24505,0.24631,2001-01-03 16:00:00.0,Intermediário
0.24268,0.24394,2001-01-03 16:30:00.0,Intermediário
0.24106,0.24243,2001-01-03 17:02:00.0,Fechamento Interbancário
