cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
2.59978,2.61518,2008-01-02 09:24:00.0,Abertura
2.60712,2.61059,2008-01-02 09:30:00.0,Intermediário
2.60877,2.61224,2008-01-02 10:00:00.0,Intermediário
2.61206,2.61589,2008-01-02 10:30:00.0,Intermediário
2.60254,2.60618,2008-01-02 11:00:00.0,Intermediário
2.59014,2.59396,2008-01-02 11:30:00.0,Intermediário
2.58638,2.58966,2008-01-02 12:00:00.0,Intermediário
2.58438,2.5882,2008-01-02 12:30:00.0,Intermediário
2.58855,2.59325,2008-01-02 13:00:00.0,Intermediário
2.59305,2.59616,2008-01-02 13:30:00.0,Intermediário
2.59861,2.60261,2008-01-02 14:00:00.0,Intermediário
2.60356,2.60756,2008-01-02 14:30:00.0,Intermediário
2.60517,2.6084,2008-01-02 15:00:00.0,Intermediário
2.60803,2.61186,2008-01-02 15:30:00.0,Intermediário
2.60913,2.61234,2008-01-02 16:00:00.0,Intermediário
2.61062,2.6126,2008-01-02 16:30:00.0,Fechamento Interbancário
2.60973,2.61143,2008-01-02 17:33:00.0,Fechamento
2.60018,2.61529,2008-01-03 09:20:00.0,Abertura
2.60479,2.61092,2008-01-03 09:30:00.0,Intermediário
2.60908,2.61232,2008-01-03 10:00:00.0,Intermediário
2.60186,2.60348,2008-01-03 10:30:00.0,Intermediário
2.60234,2.60573,2008-01-03 11:00:00.0,Intermediário
2.59224,2.59589,2008-01-03 11:30:00.0,Intermediário
2.59078,2.5939,2008-01-03 12:00:00.0,Intermediário
2.5949,2.59656,2008-01-03 12:30:00.0,Intermediário
2.59213,2.59525,2008-01-03 13:00:00.0,Intermediário
2.58698,2.59028,2008-01-03 13:30:00.0,Intermediário
2.58804,2.59125,2008-01-03 14:00:00.0,Intermediário
2.58553,2.58883,2008-01-03 14:30:00.0,Intermediário
2.57863,2.58182,2008-01-03 15:00:00.0,Intermediário
2.57585,2.57915,2008-01-03 15:30:00.0,Intermediário
2.58264,2.58441,2008-01-03 16:00:00.0,Intermediário
2.58508,2.58725,2008-01-03 16:30:00.0,Fechamento Interbancário
2.59113,2.59301,2008-01-03 17:39:00.0,Fechamento
2.56455,2.57961,2008-01-04 09:21:00.0,Abertura
2.56844,2.5719,2008-01-04 09:30:00.0,Intermediário
2.56796,2.57122,2008-01-04 10:00:00.0,Intermediário
2.56542,2.56845,2008-01-04 10:30:00.0,Intermediário
2.56577,2.56924,2008-01-04 11:00:00.0,Intermediário
2.57692,2.58145,2008-01-04 11:30:00.0,Intermediário
2.59514,2.59845,2008-01-04 12:00:00.0,Intermediário
2.59261,2.59645,2008-01-04 12:30:00.0,Intermediário
2.59161,2.59562,2008-01-04 13:00:00.0,Intermediário
2.58975,2.59287,2008-01-04 13:30:00.0,Intermediário
2.59083,2.59467,2008-01-04 14:00:00.0,Intermediário
2.59154,2.59502,2008-01-04 14:30:00.0,Intermediário
2.60311,2.60712,2008-01-04 15:00:00.0,Intermediário
2.59579,2.59998,2008-01-04 15:30:00.0,Intermediário
2.58795,2.59196,2008-01-04 16:00:00.0,Intermediário
2.5905,2.59222,2008-01-04 16:30:00.0,Fechamento Interbancário
2.59434,2.59577,2008-01-04 17:33:00.0,Fechamento
2.56676,2.58233,2008-01-07 09:16:00.0,Abertura
2.57117,2.57481,2008-01-07 09:30:00.0,Intermediário
2.57257,2.57586,2008-01-07 10:00:00.0,Intermediário
2.58314,2.58714,2008-01-07 10:30:00.0,Intermediário
2.5912,2.59431,2008-01-07 11:00:00.0,Intermediário
2.59991,2.60343,2008-01-07 11:30:00.0,Intermediário
2.59619,2.59793,2008-01-07 12:00:00.0,Intermediário
2.59131,2.59461,2008-01-07 12:30:00.0,Intermediário
2.60049,2.6045,2008-01-07 13:00:00.0,Intermediário
2.6012,2.60521,2008-01-07 13:30:00.0,Intermediário
2.60042,2.60358,2008-01-07 14:00:00.0,Intermediário
2.59583,2.59983,2008-01-07 14:30:00.0,Intermediário
2.59542,2.59907,2008-01-07 15:00:00.0,Intermediário
2.59431,2.5976,2008-01-07 15:30:00.0,Intermediário
2.58932,2.59314,2008-01-07 16:00:00.0,Intermediário
2.58897,2.59096,2008-01-07 16:30:00.0,Fechamento Interbancário
2.5944,2.5961,2008-01-07 17:41:00.0,Fechamento
2.57673,2.59249,2008-01-08 09:11:00.0,Abertura
2.58339,2.58672,2008-01-08 09:33:00.0,Intermediário
2.58239,2.58551,2008-01-08 10:00:00.0,Intermediário
2.58042,2.58441,2008-01-08 10:30:00.0,Intermediário
2.57936,2.58248,2008-01-08 11:00:00.0,Intermediário
2.58196,2.58595,2008-01-08 11:30:00.0,Intermediário
2.57572,2.57936,2008-01-08 12:00:00.0,Intermediário
2.57868,2.58059,2008-01-08 12:30:00.0,Intermediário
2.58208,2.58383,2008-01-08 13:00:00.0,Intermediário
2.57754,2.57954,2008-01-08 13:30:00.0,Intermediário
2.57826,2.57996,2008-01-08 14:00:00.0,Intermediário
2.57842,2.58206,2008-01-08 14:30:00.0,Intermediário
2.58404,2.58742,2008-01-08 15:00:00.0,Intermediário
2.58352,2.5869,2008-01-08 15:30:00.0,Intermediário
2.58914,2.59331,2008-01-08 16:00:00.0,Intermediário
2.58966,2.59202,2008-01-08 16:30:00.0,Fechamento Interbancário
2.58172,2.58377,2008-01-08 17:39:00.0,Fechamento
2.5822,2.59726,2008-01-09 09:18:00.0,Abertura
2.58643,2.59061,2008-01-09 09:30:00.0,Intermediário
2.58608,2.5899,2008-01-09 10:00:00.0,Intermediário
2.58491,2.58855,2008-01-09 10:30:00.0,Intermediário
2.58233,2.58632,2008-01-09 11:00:00.0,Intermediário
2.59155,2.59484,2008-01-09 11:30:00.0,Intermediário
2.59595,2.59995,2008-01-09 12:00:00.0,Intermediário
2.59148,2.59512,2008-01-09 12:30:00.0,Intermediário
2.59284,2.59631,2008-01-09 13:00:00.0,Intermediário
2.59002,2.59419,2008-01-09 13:30:00.0,Intermediário
2.58966,2.59366,2008-01-09 14:00:00.0,Intermediário
2.59442,2.59606,2008-01-09 14:30:00.0,Intermediário
2.59869,2.60268,2008-01-09 15:00:00.0,Intermediário
2.5933,2.5953,2008-01-09 15:30:00.0,Intermediário
2.59189,2.59442,2008-01-09 16:00:00.0,Intermediário
2.59206,2.59424,2008-01-09 16:30:00.0,Fechamento Interbancário
2.5925,2.59439,2008-01-09 17:55:00.0,Fechamento
2.58028,2.59601,2008-01-10 09:21:00.0,Abertura
2.58597,2.59014,2008-01-10 09:30:00.0,Intermediário
2.58826,2.59137,2008-01-10 10:00:00.0,Intermediário
2.58503,2.58814,2008-01-10 10:30:00.0,Intermediário
2.5801,2.58329,2008-01-10 11:00:00.0,Intermediário
2.58661,2.58931,2008-01-10 11:31:00.0,Intermediário
2.59424,2.59641,2008-01-10 12:00:00.0,Intermediário
2.59661,2.59972,2008-01-10 12:30:00.0,Intermediário
2.60161,2.605,2008-01-10 13:00:00.0,Intermediário
2.59578,2.59961,2008-01-10 13:30:00.0,Intermediário
2.59578,2.59978,2008-01-10 14:00:00.0,Intermediário
2.59631,2.60031,2008-01-10 14:30:00.0,Intermediário
2.59831,2.60161,2008-01-10 15:00:00.0,Intermediário
2.5992,2.60269,2008-01-10 15:30:00.0,Intermediário
2.60219,2.60621,2008-01-10 16:00:00.0,Intermediário
2.59879,2.60193,2008-01-10 16:30:00.0,Fechamento Interbancário
2.60767,2.60903,2008-01-10 17:41:00.0,Fechamento
2.58953,2.60483,2008-01-11 09:19:00.0,Abertura
2.59502,2.59857,2008-01-11 09:30:00.0,Intermediário
2.60058,2.60258,2008-01-11 10:00:00.0,Intermediário
2.6004,2.60441,2008-01-11 10:31:00.0,Intermediário
2.59869,2.60209,2008-01-11 11:00:00.0,Intermediário
