cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
2.8865,2.8884,2012-01-02 10:02:38.38,Abertura
2.8964,2.8978,2012-01-02 11:04:28.617,Intermediário
2.8951,2.8971,2012-01-02 12:09:26.91,Intermediário
2.8953,2.8971,2012-01-02 13:05:50.315,Intermediário
2.8924,2.8942,2012-01-02 13:05:50.33,Fechamento
2.8853,2.8869,2012-01-03 10:08:29.345,Abertura
2.8868,2.8879,2012-01-03 11:06:27.5,Intermediário
2.8712,2.8727,2012-01-03 12:03:26.736,Intermediário
2.8678,2.8691,2012-01-03 13:06:40.799,Intermediário
2.8773,2.8787,2012-01-03 13:06:40.81,Fechamento
2.8543,2.8556,2012-01-04 10:11:30.575,Abertura
2.8508,2.852,2012-01-04 11:04:31.2,Intermediário
2.8454,2.8466,2012-01-04 12:10:28.542,Intermediário
2.8514,2.8528,2012-01-04 13:09:47.16,Intermediário
2.8546,2.8563,2012-01-04 13:09:47.168,Fechamento
2.8606,2.8618,2012-01-05 10:03:28.122,Abertura
2.8462,2.8475,2012-01-05 11:07:28.996,Intermediário
2.8419,2.8434,2012-01-05 12:05:29.903,Intermediário
2.8407,2.8418,2012-01-05 13:15:24.16,Intermediário
2.8436,2.8447,2012-01-05 13:15:24.169,Fechamento
2.8537,2.8552,2012-01-06 10:08:30.273,Abertura
2.8494,2.8507,2012-01-06 11:11:30.708,Intermediário
2.8443,2.8454,2012-01-06 12:10:31.148,Intermediário
2.8524,2.8538,2012-01-06 13:09:54.879,Intermediário
2.8419,2.8434,2012-01-06 13:09:54.909,Fechamento
2.8513,2.8526,2012-01-09 10:09:30.221,Abertura
2.848,2.8493,2012-01-09 11:04:29.773,Intermediário
2.8487,2.8499,2012-01-09 12:08:26.131,Intermediário
2.8438,2.8449,2012-01-09 13:03:03.44,Intermediário
2.846,2.8473,2012-01-09 13:03:03.456,Fechamento
2.7972,2.7985,2012-01-10 10:06:29.311,Abertura
2.7863,2.7874,2012-01-10 11:02:32.555,Intermediário
2.7872,2.7885,2012-01-10 12:07:29.033,Intermediário
2.7905,2.7916,2012-01-10 13:07:18.909,Intermediário
2.7925,2.7936,2012-01-10 13:07:18.925,Fechamento
2.781,2.7822,2012-01-11 10:10:35.688,Abertura
2.7745,2.7759,2012-01-11 11:11:27.144,Intermediário
2.771,2.7722,2012-01-11 12:11:42.441,Intermediário
2.7714,2.7727,2012-01-11 13:06:42.043,Intermediário
2.7702,2.7715,2012-01-11 13:06:42.05,Fechamento
2.7412,2.7427,2012-01-12 10:02:35.847,Abertura
2.7429,2.7442,2012-01-12 11:11:29.491,Intermediário
2.7416,2.7427,2012-01-12 12:03:27.543,Intermediário
2.7379,2.7395,2012-01-12 13:05:39.125,Intermediário
2.7399,2.7413,2012-01-12 13:05:39.135,Fechamento
2.7233,2.7248,2012-01-13 10:02:29.976,Abertura
2.7281,2.7295,2012-01-13 11:11:26.508,Intermediário
2.7363,2.7377,2012-01-13 12:09:27.391,Intermediário
2.7445,2.7456,2012-01-13 13:06:08.7,Intermediário
2.7295,2.7308,2012-01-13 13:06:08.708,Fechamento
2.7317,2.7332,2012-01-16 10:02:33.527,Abertura
2.7316,2.7327,2012-01-16 11:11:29.166,Intermediário
2.7308,2.7322,2012-01-16 12:03:27.698,Intermediário
2.7304,2.7316,2012-01-16 13:11:59.943,Intermediário
2.7317,2.7328,2012-01-16 13:11:59.959,Fechamento
2.7275,2.7286,2012-01-17 10:03:31.114,Abertura
2.7284,2.7295,2012-01-17 11:07:29.732,Intermediário
2.7248,2.7263,2012-01-17 12:03:27.1,Intermediário
2.7306,2.7319,2012-01-17 13:06:49.177,Intermediário
2.7244,2.7254,2012-01-17 13:06:49.186,Fechamento
2.7323,2.7334,2012-01-18 10:06:28.542,Abertura
2.7344,2.7357,2012-01-18 11:04:27.756,Intermediário
2.7295,2.7308,2012-01-18 12:10:27.764,Intermediário
2.7443,2.7456,2012-01-18 13:03:43.494,Intermediário
2.7435,2.7448,2012-01-18 13:03:43.507,Fechamento
2.7205,2.722,2012-01-19 10:20:45.881,Abertura
2.7286,2.7299,2012-01-19 11:09:29.941,Intermediário
2.7232,2.7243,2012-01-19 12:10:29.748,Intermediário
2.7279,2.7291,2012-01-19 13:11:01.437,Intermediário
2.7257,2.727,2012-01-19 13:11:01.447,Fechamento
2.7325,2.7336,2012-01-20 10:07:42.796,Abertura
