cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
0.03462,0.03462,2026-01-02 10:02:27.416,Abertura
0.03462,0.03463,2026-01-02 11:03:26.067,Intermediário
0.03471,0.03471,2026-01-02 12:09:25.423,Intermediário
0.03472,0.03473,2026-01-02 13:03:33.249,Intermediário
0.03472,0.03472,2026-01-02 13:03:33.254,Fechamento
0.03474,0.03474,2026-01-05 10:06:26.51,Abertura
0.03472,0.03473,2026-01-05 11:03:26.834,Intermediário
0.03467,0.03468,2026-01-05 12:10:26.364,Intermediário
0.0346,0.03461,2026-01-05 13:10:14.886,Intermediário
0.03471,0.03471,2026-01-05 13:10:14.896,Fechamento
0.03448,0.03448,2026-01-06 10:11:27.803,Abertura
0.03442,0.03442,2026-01-06 11:07:25.765,Intermediário
0.03432,0.03433,2026-01-06 12:08:25.824,Intermediário
0.03429,0.0343,2026-01-06 13:12:07.348,Intermediário
0.03435,0.03436,2026-01-06 13:12:07.358,Fechamento
0.0344,0.0344,2026-01-07 10:05:25.683,Abertura
0.03438,0.03439,2026-01-07 11:03:27.334,Intermediário
0.03448,0.0345,2026-01-07 12:10:25.525,Intermediário
0.03442,0.03442,2026-01-07 13:06:26.994,Intermediário
0.03438,0.03439,2026-01-07 13:06:27.001,Fechamento
0.03433,0.03434,2026-01-08 10:02:27.805,Abertura
0.03431,0.03431,2026-01-08 11:08:26.052,Intermediário
0.03431,0.03432,2026-01-08 12:05:32.25,Intermediário
0.03435,0.03436,2026-01-08 13:04:28.611,Intermediário
0.03433,0.03434,2026-01-08 13:04:28.616,Fechamento
0.03417,0.03418,2026-01-09 10:03:26.26,Abertura
0.03409,0.0341,2026-01-09 11:11:25.964,Intermediário
0.03398,0.03398,2026-01-09 12:07:45.393,Intermediário
0.03394,0.03395,2026-01-09 13:09:29.049,Intermediário
0.03401,0.03403,2026-01-09 13:09:29.054,Fechamento
0.03407,0.03408,2026-01-12 10:11:26.245,Abertura
0.03408,0.03408,2026-01-12 11:09:25.754,Intermediário
0.03402,0.03403,2026-01-12 12:02:26.884,Intermediário
0.034,0.034,2026-01-12 13:08:29.046,Intermediário
0.03403,0.03403,2026-01-12 13:08:29.056,Fechamento
0.03386,0.03386,2026-01-13 10:02:27.802,Abertura
0.03378,0.03379,2026-01-13 11:11:26.321,Intermediário
