cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
0.22015,0.2223,2001-01-02 09:37:00.0,Abertura
0.22023,0.22146,2001-01-02 10:00:00.0,Intermediário
0.21986,0.2211,2001-01-02 10:30:00.0,Intermediário
0.21943,0.22066,2001-01-02 11:00:00.0,Intermediário
0.21943,0.22066,2001-01-02 11:30:00.0,Intermediário
0.21897,0.22009,2001-01-02 12:00:00.0,Intermediário
0.2188,0.22003,2001-01-02 12:30:00.0,Intermediário
0.21937,0.22049,2001-01-02 13:00:00.0,Intermediário
0.22022,0.22134,2001-01-02 13:30:00.0,Intermediário
0.22077,0.2219,2001-01-02 14:00:00.0,Intermediário
0.22057,0.2217,2001-01-02 14:30:00.0,Intermediário
0.22035,0.22158,2001-01-02 15:00:00.0,Intermediário
0.22053,0.22177,2001-01-02 15:30:00.0,Intermediário
0.22066,0.22178,2001-01-02 16:00:00.0,Intermediário
0.22115,0.22239,2001-01-02 16:30:00.0,Intermediário
0.22173,0.22286,2001-01-02 17:00:00.0,Fechamento Interbancário
0.22124,0.22168,2001-01-02 18:14:00.0,Fechamento
0.22174,0.22391,2001-01-03 09:40:00.0,Abertura
0.2224,0.22365,2001-01-03 10:00:00.0,Intermediário
0.22283,0.22397,2001-01-03 10:30:00.0,Intermediário
0.2224,0.22354,2001-01-03 11:00:00.0,Intermediário
0.22233,0.22346,2001-01-03 11:30:00.0,Intermediário
0.22213,0.22326,2001-01-03 12:00:00.0,Intermediário
0.22167,0.22291,2001-01-03 12:30:00.0,Intermediário
0.22157,0.22281,2001-01-03 13:00:00.0,Intermediário
0.2215,0.22274,2001-01-03 13:30:00.0,Intermediário
0.22105,0.22229,2001-01-03 14:00:00.0,Intermediário
0.22119,0.22244,2001-01-03 14:30:00.0,Intermediário
0.22163,0.22287,2001-01-03 15:00:00.0,Intermediário
0.22092,0.22205,2001-01-03 15:30:00.0,Intermediário
0.22026,0.22138,2001-01-03 16:00:00.0,Intermediário
0.21831,0.21942,2001-01-03 16:30:00.0,Intermediário
0.21704,0.21826,2001-01-03 17:02:00.0,Fechamento Interbancário
0.21709,0.21752,2001-01-03 18:10:00.0,Fechamento
0.22,0.22216,2001-01-04 09:42:00.0,Abertura
0.22096,0.22209,2001-01-04 10:00:00.0,Intermediário
0.2205,0.22174,2001-01-04 10:30:00.0,Intermediário
0.22092,0.22216,2001-01-04 11:00:00.0,Intermediário
0.22023,0.22147,2001-01-04 11:30:00.0,Intermediário
0.22088,0.222,2001-01-04 12:00:00.0,Intermediário
0.22095,0.22208,2001-01-04 12:30:00.0,Intermediário
0.22139,0.22252,2001-01-04 13:00:00.0,Intermediário
0.22072,0.22184,2001-01-04 13:30:00.0,Intermediário
0.22053,0.22165,2001-01-04 14:00:00.0,Intermediário
0.22053,0.22165,2001-01-04 14:30:00.0,Intermediário
0.22054,0.22178,2001-01-04 15:00:00.0,Intermediário
0.22074,0.22198,2001-01-04 15:30:00.0,Intermediário
0.22156,0.22269,2001-01-04 16:00:00.0,Intermediário
0.22165,0.22278,2001-01-04 16:30:00.0,Intermediário
0.22202,0.22327,2001-01-04 17:00:00.0,Fechamento Interbancário
0.22134,0.22178,2001-01-04 18:18:00.0,Fechamento
0.22274,0.22492,2001-01-05 09:47:00.0,Abertura
0.22346,0.22472,2001-01-05 10:00:00.0,Intermediário
0.22349,0.22474,2001-01-05 10:30:00.0,Intermediário
0.22364,0.2249,2001-01-05 11:00:00.0,Intermediário
0.22327,0.22441,2001-01-05 11:30:00.0,Intermediário
0.22333,0.22458,2001-01-05 12:00:00.0,Intermediário
0.2229,0.22403,2001-01-05 12:30:00.0,Intermediário
0.22351,0.22477,2001-01-05 13:00:00.0,Intermediário
0.22325,0.22451,2001-01-05 13:30:00.0,Intermediário
0.22311,0.22436,2001-01-05 14:00:00.0,Intermediário
0.22312,0.22437,2001-01-05 14:30:00.0,Intermediário
0.22393,0.22507,2001-01-05 15:00:00.0,Intermediário
0.22452,0.22578,2001-01-05 15:30:00.0,Intermediário
0.2242,0.22546,2001-01-05 16:00:00.0,Intermediário
0.22492,0.22606,2001-01-05 16:30:00.0,Intermediário
0.22473,0.22599,2001-01-05 17:00:00.0,Fechamento Interbancário
0.22462,0.22507,2001-01-05 18:12:00.0,Fechamento
0.22264,0.22481,2001-01-08 09:39:00.0,Abertura
0.22355,0.2248,2001-01-08 10:00:00.0,Intermediário
0.22337,0.22462,2001-01-08 10:30:00.0,Intermediário
0.22334,0.22448,2001-01-08 11:00:00.0,Intermediário
0.2228,0.22405,2001-01-08 11:30:00.0,Intermediário
0.22267,0.22392,2001-01-08 12:00:00.0,Intermediário
0.22295,0.22408,2001-01-08 12:30:00.0,Intermediário
0.22356,0.2247,2001-01-08 13:00:00.0,Intermediário
0.22337,0.22463,2001-01-08 13:30:00.0,Intermediário
0.22338,0.22463,2001-01-08 14:00:00.0,Intermediário
0.22316,0.22441,2001-01-08 14:30:00.0,Intermediário
0.2228,0.22405,2001-01-08 15:00:00.0,Intermediário
0.2232,0.22445,2001-01-08 15:30:00.0,Intermediário
0.22265,0.2239,2001-01-08 16:00:00.0,Intermediário
0.22266,0.2239,2001-01-08 16:30:00.0,Intermediário
0.22232,0.22346,2001-01-08 17:00:00.0,Fechamento Interbancário
0.22311,0.22356,2001-01-08 18:13:00.0,Fechamento
0.2204,0.22255,2001-01-09 09:58:00.0,Abertura
0.22072,0.22185,2001-01-09 10:00:00.0,Intermediário
0.22099,0.22223,2001-01-09 10:30:00.0,Intermediário
0.22151,0.22276,2001-01-09 11:00:00.0,Intermediário
0.22128,0.22252,2001-01-09 11:30:00.0,Intermediário
0.22156,0.2228,2001-01-09 12:00:00.0,Intermediário
0.22129,0.22242,2001-01-09 12:30:00.0,Intermediário
0.22119,0.22232,2001-01-09 13:00:00.0,Intermediário
0.22112,0.22225,2001-01-09 13:30:00.0,Intermediário
0.22113,0.22225,2001-01-09 14:00:00.0,Intermediário
0.22126,0.22238,2001-01-09 14:30:00.0,Intermediário
0.22046,0.2217,2001-01-09 15:00:00.0,Intermediário
0.22089,0.22213,2001-01-09 15:30:00.0,Intermediário
0.22082,0.22206,2001-01-09 16:00:00.0,Intermediário
0.22111,0.22235,2001-01-09 16:30:00.0,Intermediário
0.22138,0.22263,2001-01-09 17:00:00.0,Fechamento Interbancário
0.22208,0.22252,2001-01-09 18:24:00.0,Fechamento
0.22186,0.22402,2001-01-10 09:34:00.0,Abertura
0.22254,0.22368,2001-01-10 10:00:00.0,Intermediário
0.22253,0.22378,2001-01-10 10:30:00.0,Intermediário
0.22259,0.22373,2001-01-10 11:00:00.0,Intermediário
0.22262,0.22387,2001-01-10 11:30:00.0,Intermediário
0.22295,0.22409,2001-01-10 12:00:00.0,Intermediário
0.22254,0.22379,2001-01-10 12:30:00.0,Intermediário
0.22246,0.2236,2001-01-10 13:00:00.0,Intermediário
0.22208,0.22321,2001-01-10 13:30:00.0,Intermediário
0.22266,0.2238,2001-01-10 14:00:00.0,Intermediário
0.22244,0.22357,2001-01-10 14:30:00.0,Intermediário
0.22182,0.22307,2001-01-10 15:00:00.0,Intermediário
0.22268,0.22381,2001-01-10 15:30:00.0,Intermediário
0.22283,0.22396,2001-01-10 16:00:00.0,Intermediário
0.22289,0.22414,2001-01-10 16:30:00.0,Intermediário
0.22277,0.2239,2001-01-10 17:00:00.0,Fechamento Interbancário
0.22211,0.22255,2001-01-10 18:12:00.0,Fechamento
0.22405,0.22624,2001-01-11 10:56:00.0,Abertura
0.22435,0.22655,2001-01-11 11:19:00.0,Intermediário
0.22458,0.22678,2001-01-11 11:39:00.0,Intermediário
0.22556,0.22671,2001-01-11 12:05:00.0,Intermediário
0.22541,0.22656,2001-01-11 12:32:00.0,Intermediário
0.2252,0.22635,2001-01-11 13:03:00.0,Intermediário
