cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
0.359,0.3591,2017-01-02 10:06:43.139,Abertura
0.3593,0.3594,2017-01-02 11:04:30.992,Intermediário
0.3587,0.3588,2017-01-02 12:02:38.389,Intermediário
0.3584,0.3587,2017-01-02 13:07:18.138,Intermediário
0.3585,0.3588,2017-01-02 13:07:18.146,Fechamento
0.3562,0.3564,2017-01-03 10:02:35.243,Abertura
0.3555,0.3557,2017-01-03 11:09:30.834,Intermediário
0.3559,0.3561,2017-01-03 12:08:31.564,Intermediário
0.3548,0.355,2017-01-03 13:07:34.017,Intermediário
0.3557,0.356,2017-01-03 13:07:34.023,Fechamento
0.3547,0.3549,2017-01-04 10:13:19.577,Abertura
0.3546,0.3548,2017-01-04 11:05:54.831,Intermediário
0.3539,0.3541,2017-01-04 12:09:30.039,Intermediário
0.3536,0.3538,2017-01-04 13:11:50.493,Intermediário
0.3544,0.3545,2017-01-04 13:11:50.501,Fechamento
0.3531,0.3532,2017-01-05 10:03:27.08,Abertura
0.3547,0.355,2017-01-05 11:09:29.997,Intermediário
0.354,0.3543,2017-01-05 12:09:31.179,Intermediário
0.3549,0.3551,2017-01-05 13:04:07.255,Intermediário
0.355,0.3552,2017-01-05 13:04:07.266,Fechamento
0.355,0.3553,2017-01-06 10:06:36.32,Abertura
0.3551,0.3553,2017-01-06 11:09:29.614,Intermediário
0.3541,0.3544,2017-01-06 12:05:40.2,Intermediário
0.3534,0.3536,2017-01-06 13:13:42.951,Intermediário
0.3537,0.3539,2017-01-06 13:13:42.955,Fechamento
0.3549,0.3551,2017-01-09 10:05:47.39,Abertura
0.3534,0.3536,2017-01-09 11:11:41.819,Intermediário
0.353,0.3532,2017-01-09 12:10:37.459,Intermediário
0.3523,0.3525,2017-01-09 13:08:58.921,Intermediário
0.3531,0.3534,2017-01-09 13:08:58.927,Fechamento
0.3538,0.354,2017-01-10 10:08:30.218,Abertura
0.353,0.3532,2017-01-10 11:07:34.51,Intermediário
0.3525,0.3527,2017-01-10 12:05:41.12,Intermediário
0.3525,0.3526,2017-01-10 13:08:06.677,Intermediário
0.3532,0.3534,2017-01-10 13:08:06.682,Fechamento
0.3525,0.3527,2017-01-11 10:02:31.66,Abertura
0.3531,0.3534,2017-01-11 11:05:40.152,Intermediário
0.3526,0.3529,2017-01-11 12:02:37.805,Intermediário
0.3523,0.3526,2017-01-11 13:07:48.314,Intermediário
0.3518,0.352,2017-01-11 13:07:48.319,Fechamento
0.3544,0.3546,2017-01-12 10:07:31.6,Abertura
0.3539,0.3541,2017-01-12 11:08:31.355,Intermediário
0.3557,0.3559,2017-01-12 12:05:38.641,Intermediário
0.3554,0.3556,2017-01-12 13:03:09.371,Intermediário
0.3548,0.355,2017-01-12 13:03:09.376,Fechamento
0.3573,0.3575,2017-01-13 10:06:35.48,Abertura
0.3592,0.3595,2017-01-13 11:11:41.225,Intermediário
0.3596,0.3598,2017-01-13 12:08:31.434,Intermediário
0.3599,0.3601,2017-01-13 13:09:16.022,Intermediário
0.3581,0.3583,2017-01-13 13:09:16.027,Fechamento
0.3594,0.3596,2017-01-16 10:06:39.726,Abertura
0.3594,0.3596,2017-01-16 11:06:41.362,Intermediário
0.3605,0.3607,2017-01-16 12:04:35.643,Intermediário
0.3605,0.3607,2017-01-16 13:12:00.596,Intermediário
0.3603,0.3604,2017-01-16 13:12:00.606,Fechamento
0.3608,0.361,2017-01-17 10:05:45.922,Abertura
0.3605,0.3609,2017-01-17 11:07:31.976,Intermediário
0.3608,0.361,2017-01-17 12:06:35.643,Intermediário
0.3621,0.3624,2017-01-17 13:06:55.726,Intermediário
0.3615,0.3618,2017-01-17 13:06:55.733,Fechamento
0.3611,0.3613,2017-01-18 10:05:41.747,Abertura
0.3606,0.3608,2017-01-18 11:07:31.45,Intermediário
0.3604,0.3605,2017-01-18 12:02:33.34,Intermediário
0.361,0.3612,2017-01-18 13:05:28.397,Intermediário
0.3609,0.3611,2017-01-18 13:05:28.424,Fechamento
0.36,0.3602,2017-01-19 10:05:43.677,Abertura
0.3588,0.359,2017-01-19 11:02:34.687,Intermediário
0.3567,0.3569,2017-01-19 12:09:31.109,Intermediário
0.3559,0.3561,2017-01-19 13:08:52.5,Intermediário
0.3562,0.3564,2017-01-19 13:08:52.51,Fechamento
0.3576,0.3577,2017-01-20 10:04:29.074,Abertura
0.357,0.3572,2017-01-20 11:02:35.599,Intermediário
0.3569,0.3571,2017-01-20 12:04:29.52,Intermediário
0.3573,0.3575,2017-01-20 13:13:39.168,Intermediário
0.3578,0.358,2017-01-20 13:13:39.174,Fechamento
0.3565,0.3568,2017-01-23 10:08:31.336,Abertura
0.3565,0.3567,2017-01-23 11:04:28.095,Intermediário
0.356,0.3562,2017-01-23 12:04:31.396,Intermediário
0.357,0.3572,2017-01-23 13:12:54.926,Intermediário
0.3566,0.3568,2017-01-23 13:12:54.933,Fechamento
0.3583,0.3585,2017-01-24 10:07:32.921,Abertura
0.3578,0.358,2017-01-24 11:06:38.544,Intermediário
0.358,0.3582,2017-01-24 12:10:46.465,Intermediário
0.358,0.3582,2017-01-24 13:09:02.639,Intermediário
0.3582,0.3584,2017-01-24 13:09:02.65,Fechamento
0.3592,0.3595,2017-01-25 10:10:43.516,Abertura
