cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
2.651,2.661,2005-01-03 09:53:00.0,Abertura
2.655,2.657,2005-01-03 10:00:00.0,Intermediário
2.658,2.661,2005-01-03 10:30:00.0,Intermediário
2.663,2.665,2005-01-03 11:00:00.0,Intermediário
2.667,2.669,2005-01-03 11:30:00.0,Intermediário
2.666,2.668,2005-01-03 12:00:00.0,Intermediário
2.665,2.667,2005-01-03 12:30:00.0,Intermediário
2.661,2.663,2005-01-03 13:00:00.0,Intermediário
2.661,2.663,2005-01-03 13:30:00.0,Intermediário
2.661,2.663,2005-01-03 14:00:00.0,Intermediário
2.661,2.663,2005-01-03 14:30:00.0,Intermediário
2.671,2.673,2005-01-03 15:00:00.0,Intermediário
2.671,2.673,2005-01-03 15:30:00.0,Intermediário
2.672,2.674,2005-01-03 16:00:00.0,Intermediário
2.673,2.675,2005-01-03 16:30:00.0,Fechamento Interbancário
2.6674,2.6682,2005-01-03 18:35:00.0,Fechamento
2.674,2.684,2005-01-04 09:58:00.0,Abertura
2.678,2.68,2005-01-04 10:00:00.0,Intermediário
2.683,2.685,2005-01-04 10:34:00.0,Intermediário
2.684,2.686,2005-01-04 11:00:00.0,Intermediário
2.686,2.688,2005-01-04 11:30:00.0,Intermediário
2.685,2.688,2005-01-04 12:00:00.0,Intermediário
2.686,2.688,2005-01-04 12:30:00.0,Intermediário
2.693,2.695,2005-01-04 13:00:00.0,Intermediário
2.692,2.694,2005-01-04 13:35:00.0,Intermediário
2.692,2.694,2005-01-04 14:00:00.0,Intermediário
2.692,2.694,2005-01-04 14:30:00.0,Intermediário
2.702,2.704,2005-01-04 15:00:00.0,Intermediário
2.699,2.701,2005-01-04 15:30:00.0,Intermediário
2.698,2.7,2005-01-04 16:00:00.0,Intermediário
2.698,2.7,2005-01-04 16:30:00.0,Fechamento Interbancário
2.6879,2.6887,2005-01-04 17:40:00.0,Fechamento
2.725,2.735,2005-01-05 09:50:00.0,Abertura
2.723,2.725,2005-01-05 10:00:00.0,Intermediário
2.717,2.719,2005-01-05 10:30:00.0,Intermediário
2.716,2.718,2005-01-05 11:00:00.0,Intermediário
